dimension,lower_bound,public_comparison,increase
32,347584,346432,1152
33,363968,362048,1920
34,384196,381124,3072
35,409676,409548,128
36,484760,484568,192
37,498024,496232,1792
38,591900,591612,288
39,763668,756116,7552
43,2553792,2545056,8736
45,7380090,7379838,252
